2024-09-16 23:40:44 INFO     A new study created in RDB with name: xgboost-study1
2024-09-16 23:40:44 INFO     START OPTUNA OPTIMIZATION...
2024-09-17 00:42:16 INFO     Trial 14 finished with value: 0.06719964615122365 and parameters: {'clf__max_delta_step': 51.64710271069907, 'clf__max_depth': 12, 'clf__reg_lambda': 23.772365480331203, 'clf__gamma': 17.855877973118197, 'clf__min_child_weight': 28.273412339330825, 'clf__reg_alpha': 12.17223022197415, 'clf__learning_rate': 0.009627086847517275, 'clf__grow_policy': 'lossguide'}. Best is trial 5 with value: 0.8268116568968654.
2024-09-17 00:47:42 INFO     Trial 15 finished with value: 0.8664150177888825 and parameters: {'clf__max_delta_step': 78.62269974917778, 'clf__max_depth': 7, 'clf__reg_lambda': 33.30108541244283, 'clf__gamma': 0.04177929510547784, 'clf__min_child_weight': 16.199464475686973, 'clf__reg_alpha': 9.05664313021317, 'clf__learning_rate': 1.4405571974030278, 'clf__grow_policy': 'lossguide'}. Best is trial 15 with value: 0.8664150177888825.
2024-09-17 00:51:21 INFO     Trial 16 finished with value: 0.7119129883839607 and parameters: {'clf__max_delta_step': 99.89089398829576, 'clf__max_depth': 4, 'clf__reg_lambda': 32.50646066984221, 'clf__gamma': 2.3273915923075066, 'clf__min_child_weight': 17.607113730481316, 'clf__reg_alpha': 22.36813810707382, 'clf__learning_rate': 2.2260853673047163, 'clf__grow_policy': 'lossguide'}. Best is trial 15 with value: 0.8664150177888825.
2024-09-17 00:56:21 INFO     Trial 17 finished with value: 0.0 and parameters: {'clf__max_delta_step': 77.85809452124148, 'clf__max_depth': 6, 'clf__reg_lambda': 22.8380904243449, 'clf__gamma': 8.019080719347262, 'clf__min_child_weight': 26.09295608593048, 'clf__reg_alpha': 8.283579821121515, 'clf__learning_rate': 0.0008885488980016845, 'clf__grow_policy': 'lossguide'}. Best is trial 15 with value: 0.8664150177888825.
2024-09-17 01:00:33 INFO     Trial 18 finished with value: 0.8693802238609705 and parameters: {'clf__max_delta_step': 87.26397219718967, 'clf__max_depth': 4, 'clf__reg_lambda': 31.333471444077354, 'clf__gamma': 0.9021400533683025, 'clf__min_child_weight': 31.503183082419284, 'clf__reg_alpha': 3.43027437224387, 'clf__learning_rate': 0.1609242254584009, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:04:44 INFO     Trial 19 finished with value: 0.837335146010679 and parameters: {'clf__max_delta_step': 86.66912902774534, 'clf__max_depth': 4, 'clf__reg_lambda': 39.993989618432664, 'clf__gamma': 0.6527406730887767, 'clf__min_child_weight': 31.84397986589766, 'clf__reg_alpha': 13.91881894589438, 'clf__learning_rate': 0.17204577827041614, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:09:20 INFO     Trial 20 finished with value: 0.13123533762632564 and parameters: {'clf__max_delta_step': 68.24590768840666, 'clf__max_depth': 7, 'clf__reg_lambda': 32.22936959975835, 'clf__gamma': 48.21938622797276, 'clf__min_child_weight': 14.841315623566487, 'clf__reg_alpha': 2.493075432612603, 'clf__learning_rate': 0.010954488206333601, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:13:32 INFO     Trial 21 finished with value: 0.851058750092937 and parameters: {'clf__max_delta_step': 87.85942523768833, 'clf__max_depth': 4, 'clf__reg_lambda': 39.63985488876037, 'clf__gamma': 0.42607551150673945, 'clf__min_child_weight': 33.159446882522985, 'clf__reg_alpha': 14.469566819156578, 'clf__learning_rate': 0.16162411177798539, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:16:57 INFO     Trial 22 finished with value: 0.6978468204836458 and parameters: {'clf__max_delta_step': 85.77949668304235, 'clf__max_depth': 3, 'clf__reg_lambda': 33.30150528988128, 'clf__gamma': 6.913645503064578, 'clf__min_child_weight': 33.192547527729936, 'clf__reg_alpha': 16.445477434445095, 'clf__learning_rate': 0.14136323362780268, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:21:16 INFO     Trial 23 finished with value: 0.8244208298530873 and parameters: {'clf__max_delta_step': 88.32031488641354, 'clf__max_depth': 5, 'clf__reg_lambda': 27.839701521999892, 'clf__gamma': 0.4826314148568156, 'clf__min_child_weight': 43.04893645672219, 'clf__reg_alpha': 8.506555807491711, 'clf__learning_rate': 0.32081313763232827, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:25:07 INFO     Trial 24 finished with value: 0.65917826903526 and parameters: {'clf__max_delta_step': 97.76000639581412, 'clf__max_depth': 3, 'clf__reg_lambda': 39.53910879249134, 'clf__gamma': 6.653376799576686, 'clf__min_child_weight': 21.459687587953496, 'clf__reg_alpha': 14.654415980935442, 'clf__learning_rate': 0.04185912355529299, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:29:53 INFO     Trial 25 finished with value: 0.33893308453846677 and parameters: {'clf__max_delta_step': 67.32350622750432, 'clf__max_depth': 6, 'clf__reg_lambda': 33.86336980442025, 'clf__gamma': 15.02341154641444, 'clf__min_child_weight': 28.086538260139662, 'clf__reg_alpha': 25.322256116868104, 'clf__learning_rate': 0.018898910041033463, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:32:46 INFO     Trial 26 finished with value: 0.24555126611102696 and parameters: {'clf__max_delta_step': 81.20829523570363, 'clf__max_depth': 3, 'clf__reg_lambda': 35.63048290666907, 'clf__gamma': 25.883719204884915, 'clf__min_child_weight': 41.89079935048039, 'clf__reg_alpha': 9.090519057575262, 'clf__learning_rate': 4.113388309026091, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:37:41 INFO     Trial 27 finished with value: 0.6872808002777284 and parameters: {'clf__max_delta_step': 67.58648173778639, 'clf__max_depth': 8, 'clf__reg_lambda': 30.09589757822407, 'clf__gamma': 5.175198702150377, 'clf__min_child_weight': 34.27201097657994, 'clf__reg_alpha': 10.680076489289977, 'clf__learning_rate': 0.07749111667253442, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:42:22 INFO     Trial 28 finished with value: 0.0 and parameters: {'clf__max_delta_step': 91.47903182053962, 'clf__max_depth': 5, 'clf__reg_lambda': 24.74209548255211, 'clf__gamma': 8.573548453500912, 'clf__min_child_weight': 49.89442907234414, 'clf__reg_alpha': 7.036307566948688, 'clf__learning_rate': 0.004358461403723879, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
